SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100061143,10002863,10004867,18,18,AF/IN,,,1625,BF/IN,,,1672
100061144,10002863,10005124,73,73,AF/IN,,,1637,BF/IN,,,1672
100061146,10002863,10005267,45,45,AF/IN,,,1595,BF/IN,,,1645
100061148,10002863,10005397,51,51,AF/IN,,,1595,BF/IN,,,1656
100061149,10002863,10005473,11,11,AF/IN,,,1605,BF/IN,,,1660
100061151,10002863,10005605,44,44,AF/IN,,,1595,BF/IN,,,1631
100061152,10002863,10005634,65,65,AF/IN,,,1595,BF/IN,,,1657
100061154,10002863,10005790,18,18,AF/IN,,,1595,BF/IN,,,1672
100061155,10002863,10005791,11,11,AF/IN,,,1668,BF/IN,,,1672
100061157,10002863,10005846,13,13,AF/IN,,,1626,BF/IN,,,1672
100061159,10002863,10005897,11,11,AF/IN,,,1599,BF/IN,,,1662
100061160,10002863,10006032,47,47,AF/IN,,,1617,BF/IN,,,1640
100061163,10002863,10006134,18,18,AF/IN,,,1596,BF/IN,,,1672
100061165,10002863,10006310,84,84,AF/IN,,,1595,BF/IN,,,1632
100061169,10002863,10006543,18,18,AF/IN,,,1634,BF/IN,,,1663
100061173,10002863,10006923,22,22,AF/IN,,,1595,BF/IN,,,1637
100061175,10002863,10007152,51,51,AF/IN,,,1595,BF/IN,,,1672
100061177,10002863,10007319,27,27,AF/IN,,,1614,BF/IN,,,1672
100061178,10002863,10007457,65,65,AF/IN,,,1595,BF/IN,,,1634
100061180,10002863,10007509,17,17,AF/IN,,,1656,BF/IN,,,1672
100061181,10002863,10007648,32,32,AF/IN,,,1612,BF/IN,,,1648
100061183,10002863,10007966,81,81,AF/IN,,,1609,BF/IN,,,1669
100061184,10002863,10008019,79,79,AF/IN,,,1595,BF/IN,,,1662
100061186,10002863,10008146,49,49,AF/IN,,,1595,BF/IN,,,1653
100061188,10002863,10008212,24,24,AF/IN,,,1595,BF/IN,,,1621
100061189,10002863,10008286,21,21,AF/IN,,,1595,BF/IN,,,1664
100061191,10002863,10008400,44,44,AF/IN,,,1604,BF/IN,,,1672
100061192,10002863,10008519,15,15,AF/IN,,,1598,BF/IN,,,1672
