SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100200787,10004783,10000444,100,100,IN,"",,1584,IN,"",,1584
100200785,10054878,10002021,100,100,BF,"",,1581,IN,December,1,1581
100200786,10054878,10004783,100,100,BF/IN,"",,1594,IN,March,2,1606
100200788,10054879,10013231,100,100,BF,May,4,1560,IN,"",,1611
100200789,10054881,10013231,60,60,AF/IN,"",,1538,IN,"",,1612
100200790,10054881,10004783,60,60,BF/IN,December,,1588,AF/IN,"",,1615
100200791,10054880,10004783,100,100,BF/IN,December,,1588,AF,"",,1599
100200792,10054882,10004783,100,100,AF/IN,"",,1588,BF/IN,"",,1601
100200793,10054880,10054881,100,100,AF,"",,1537,AF/IN,"",,1589
100200794,10054880,10013231,60,60,AF,"",,1536,AF/IN,"",,1589
100200795,10054880,10054882,100,100,AF,"",,1537,AF,"",,1589
100200796,10054881,10054882,100,100,AF,"",,1537,AF/IN,"",,1601
100200797,10054882,10013231,100,100,AF,"",,1537,AF,"",,1601
100200802,10000815,10010543,60,60,BF,January,1,1649,BF/IN,"",,1671
100200803,10004092,10000815,100,100,BF,January,1,1649,BF/IN,"",,1671
100200799,10054873,10006959,100,100,BF,"",,1534,IN,"",,1539
100200800,10054873,10005504,82,82,AF,"",,1509,BF,"",,1533
100200798,10054873,10006611,60,100,CA,"",,1509,BF,"",,1546
100200801,10000815,10010424,100,100,BF,January,1,1649,BF/IN,"",,1671
100200807,10054885,10008762,60,84,AF/IN,February,,1664,BF/IN,"",,1667
100200804,10007364,10010670,60,60,AF/IN,October,,1680,BF/IN,"",,1693
100200805,10007364,10002721,96,96,AF/IN,October,,1680,BF/IN,"",,1701
100200806,10054885,10007364,60,60,AF/IN,October,13,1680,BF/IN,"",,1687
100200767,10054868,10000323,98,98,AF,"",,1629,CA,"",,1643
100200818,10005739,10010431,91,91,CA,"",,1715,BF/IN,"",,1729
100200808,10007364,10054886,100,100,AF,October,13,1680,BF/IN,January,,1683
100200809,10054887,10009112,91,91,BF/IN,August,,1665,BF/IN,"",,1667
100200810,10001419,10054887,79,79,BF/IN,August,6,1665,BF/IN,"",,1667
100200811,10005491,10001275,100,100,BF/IN,"",,1720,BF/IN,"",,1747
100200813,10054888,10008812,60,84,AF/IN,April,22,1715,BF/IN,"",,1727
100200814,10054888,10006459,73,73,AF/IN,"",,1715,BF/IN,"",,1727
100200815,10054888,10006895,89,89,AF/IN,November,,1715,BF/IN,"",,1725
100200816,10054888,10054889,100,100,BF/IN,"",,1715,BF/IN,"",,1749
100200817,10010973,10054888,60,60,AF/IN,"",,1715,BF/IN,"",,1721
100200819,10005841,10010431,60,67,AF/IN,"",,1715,BF/IN,"",,1733
100200820,10054891,10010431,60,60,BF/IN,"",,1716,BF/IN,"",,1745
100200821,10010431,10054888,82,82,BF/IN,"",,1716,BF/IN,"",,1749
100200822,10054892,10010431,60,75,AF/IN,"",,1715,BF/IN,"",,1729
100200823,10054892,10005491,86,86,AF/IN,"",,1710,BF/IN,"",,1729
